               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.035162,            0.040468,           0.0055822,             0.86138,             0.94955,             0.96227,             0.72299,            0.028301,            0.019496,           0.0022846,            0.006139,            0.006139,            0.006139
                 119,            0.033537,            0.037277,           0.0054639,             0.87731,             0.93176,             0.96261,             0.72739,            0.027934,            0.019249,           0.0022342,            0.006106,            0.006106,            0.006106
                 120,            0.034435,            0.042217,           0.0048867,             0.90433,              0.9155,             0.96095,             0.72949,            0.027741,            0.019241,            0.002225,            0.006073,            0.006073,            0.006073
                 121,            0.032458,            0.034942,            0.004936,             0.92125,             0.91091,              0.9639,             0.73225,            0.028034,            0.019404,           0.0022239,             0.00604,             0.00604,             0.00604
                 122,            0.033271,            0.037178,           0.0047897,             0.91264,              0.9065,              0.9585,             0.73062,            0.028234,            0.019465,           0.0022355,            0.006007,            0.006007,            0.006007
                 123,            0.033665,            0.036943,           0.0050949,             0.91364,             0.90936,             0.96503,             0.73906,            0.027965,            0.019486,           0.0022311,            0.005974,            0.005974,            0.005974
                 124,            0.033003,            0.036457,           0.0053568,             0.92988,             0.89866,             0.96584,             0.73416,            0.027714,            0.019484,           0.0022138,            0.005941,            0.005941,            0.005941
                 125,            0.032714,            0.035985,           0.0051138,              0.9077,             0.90697,             0.96518,             0.72453,            0.028016,            0.019567,           0.0022202,            0.005908,            0.005908,            0.005908
                 126,             0.03314,            0.037141,           0.0051696,             0.90647,             0.90621,             0.95879,             0.72811,            0.028264,            0.019609,           0.0022483,            0.005875,            0.005875,            0.005875
                 127,            0.032355,            0.035805,           0.0049685,             0.86903,             0.95163,             0.96026,             0.73406,            0.027248,             0.01949,           0.0022711,            0.005842,            0.005842,            0.005842
                 128,            0.032069,            0.037595,           0.0046946,             0.87757,             0.95048,             0.96489,             0.73293,            0.028022,            0.019516,           0.0022765,            0.005809,            0.005809,            0.005809
                 129,            0.031604,            0.033938,           0.0047253,             0.89365,             0.93582,             0.96009,             0.72684,            0.028063,            0.019448,           0.0022414,            0.005776,            0.005776,            0.005776
                 130,             0.03434,            0.038299,           0.0052779,             0.89814,             0.93669,             0.96223,              0.7396,            0.027567,            0.019423,           0.0022144,            0.005743,            0.005743,            0.005743
                 131,            0.035025,            0.042116,           0.0058869,             0.90558,             0.93065,             0.96325,             0.73712,            0.027206,            0.019595,           0.0022196,             0.00571,             0.00571,             0.00571
                 132,              0.0317,            0.037057,           0.0054645,             0.89385,             0.92548,             0.96057,             0.73366,            0.028716,            0.019465,           0.0021924,            0.005677,            0.005677,            0.005677
                 133,            0.033505,            0.033682,           0.0051424,             0.89498,             0.92556,             0.95851,             0.74449,            0.027552,            0.019502,           0.0021638,            0.005644,            0.005644,            0.005644
                 134,            0.033549,            0.035797,           0.0048559,             0.89465,             0.93057,             0.96141,             0.72692,            0.028293,            0.019763,           0.0021355,            0.005611,            0.005611,            0.005611
                 135,            0.034064,            0.037062,            0.005217,              0.9064,             0.91899,             0.96268,             0.72074,            0.029137,             0.01966,           0.0021216,            0.005578,            0.005578,            0.005578
                 136,            0.034329,            0.034562,           0.0050994,             0.91732,             0.90615,             0.96315,             0.73516,            0.028054,            0.019484,           0.0021468,            0.005545,            0.005545,            0.005545
                 137,            0.032951,            0.037571,           0.0049855,             0.92491,             0.90992,             0.96297,             0.73337,            0.028131,            0.019452,            0.002172,            0.005512,            0.005512,            0.005512
                 138,            0.032744,            0.038733,           0.0053344,             0.92184,              0.9092,             0.96221,             0.74646,            0.027448,            0.019279,           0.0021974,            0.005479,            0.005479,            0.005479
                 139,            0.032026,            0.031489,           0.0052014,             0.92523,             0.91362,             0.96348,             0.73209,            0.026937,            0.019202,           0.0022197,            0.005446,            0.005446,            0.005446
                 140,            0.030796,            0.034178,           0.0050839,              0.9316,             0.91095,             0.96404,             0.73549,            0.027293,            0.019297,           0.0022399,            0.005413,            0.005413,            0.005413
                 141,            0.032965,            0.034591,           0.0055197,             0.93075,             0.90885,             0.96286,             0.74645,            0.026469,            0.019101,           0.0022458,             0.00538,             0.00538,             0.00538
                 142,            0.032236,            0.032857,           0.0052481,             0.93643,             0.90819,             0.96335,             0.73476,            0.027466,            0.019282,           0.0022079,            0.005347,            0.005347,            0.005347
                 143,            0.032005,            0.036796,           0.0049955,             0.93441,             0.91539,             0.96336,             0.72971,            0.027142,            0.019346,           0.0021898,            0.005314,            0.005314,            0.005314
                 144,            0.031517,            0.038324,           0.0044948,             0.93171,             0.91758,              0.9642,             0.74355,            0.027162,            0.019355,            0.002194,            0.005281,            0.005281,            0.005281
                 145,             0.03366,            0.038221,           0.0046225,             0.94219,             0.91687,             0.95987,             0.75421,            0.026841,            0.019287,           0.0022062,            0.005248,            0.005248,            0.005248
                 146,            0.031909,            0.036738,           0.0050658,             0.93499,             0.91197,             0.96099,             0.74448,            0.026252,            0.019128,           0.0021908,            0.005215,            0.005215,            0.005215
                 147,            0.032733,            0.039461,           0.0051765,             0.93016,             0.90959,             0.95503,             0.72752,            0.027269,            0.019382,           0.0021679,            0.005182,            0.005182,            0.005182
                 148,            0.031546,            0.030871,           0.0048089,             0.92637,             0.91581,              0.9555,             0.72517,            0.027556,            0.019151,           0.0021412,            0.005149,            0.005149,            0.005149
                 149,            0.032389,            0.033552,           0.0048151,             0.91485,             0.92249,             0.96283,              0.7446,            0.026431,            0.018863,           0.0021307,            0.005116,            0.005116,            0.005116
                 150,            0.031534,             0.03326,            0.004434,             0.92588,             0.91312,             0.96391,             0.74421,            0.026694,            0.018882,           0.0021252,            0.005083,            0.005083,            0.005083
                 151,            0.030917,             0.03483,           0.0046738,             0.92984,             0.91228,             0.95884,             0.74744,            0.025908,            0.018589,           0.0021097,             0.00505,             0.00505,             0.00505
